experiment_name,model,dataset,test_loss,mae,rmse,mape,params,metadata_run_id,metadata_device,metadata_num_nodes,metadata_seq_len,metadata_horizon,metadata_batch_size,metadata_normalization_stats,metadata_total_configs,metadata_best_result,timestamp
pems-bay_DCRNN_20260303_202038,DCRNN,pems-bay,0.28613960336776395,0.29022738337516785,0.5350656509399414,170.162109375,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'k': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5, 'use_scheduled_sampling': False, 'teacher_forcing_ratio': 0.5}",20260303_202038,cuda,325,12,12,8,"{'method': 'zscore', 'mean': 62.73689571599971, 'std': 9.436833092265356}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'k': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5, 'use_scheduled_sampling': False, 'teacher_forcing_ratio': 0.5}, 'test_loss': 0.28613960336776395, 'mae': 0.29022738337516785, 'rmse': 0.5350656509399414, 'mape': 170.162109375}",2026-03-04T01:50:11.557694
pems-bay_GraphWaveNet_20260303_202038,GraphWaveNet,pems-bay,0.2054735558504077,0.21702435612678528,0.4534132480621338,130.69264221191406,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_blocks': 3, 'dilation_base': 2, 'k': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}",20260303_202038,cuda,325,12,12,8,"{'method': 'zscore', 'mean': 62.73689571599971, 'std': 9.436833092265356}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_blocks': 3, 'dilation_base': 2, 'k': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}, 'test_loss': 0.2054735558504077, 'mae': 0.21702435612678528, 'rmse': 0.4534132480621338, 'mape': 130.69264221191406}",2026-03-04T01:50:11.557902
pems-bay_MTGNN_20260303_202038,MTGNN,pems-bay,0.2603120902692076,0.23629111051559448,0.5103575587272644,133.90618896484375,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_blocks': 3, 'kernel_size': 2, 'dilation_base': 2, 'gcn_depth': 2, 'propalpha': 0.05, 'node_dim': 16, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}",20260303_202038,cuda,325,12,12,8,"{'method': 'zscore', 'mean': 62.73689571599971, 'std': 9.436833092265356}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_blocks': 3, 'kernel_size': 2, 'dilation_base': 2, 'gcn_depth': 2, 'propalpha': 0.05, 'node_dim': 16, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}, 'test_loss': 0.2603120902692076, 'mae': 0.23629111051559448, 'rmse': 0.5103575587272644, 'mape': 133.90618896484375}",2026-03-04T01:50:11.558087
pems-bay_DGCRN_20260303_202038,DGCRN,pems-bay,0.22795766893828676,0.2330973893404007,0.4775804877281189,145.44119262695312,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'node_dim': 16, 'gcn_depth': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}",20260303_202038,cuda,325,12,12,8,"{'method': 'zscore', 'mean': 62.73689571599971, 'std': 9.436833092265356}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'node_dim': 16, 'gcn_depth': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}, 'test_loss': 0.22795766893828676, 'mae': 0.2330973893404007, 'rmse': 0.4775804877281189, 'mape': 145.44119262695312}",2026-03-04T01:50:11.558268
pems-bay_STICformer_20260303_202038,STICformer,pems-bay,0.19208880250831117,0.20184753835201263,0.43840715289115906,118.67691040039062,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_layers': 2, 'num_heads': 4, 'ff_multiplier': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}",20260303_202038,cuda,325,12,12,8,"{'method': 'zscore', 'mean': 62.73689571599971, 'std': 9.436833092265356}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_layers': 2, 'num_heads': 4, 'ff_multiplier': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}, 'test_loss': 0.19208880250831117, 'mae': 0.20184753835201263, 'rmse': 0.43840715289115906, 'mape': 118.67691040039062}",2026-03-04T01:50:11.558449
pems-bay_PatchSTG_20260303_202038,PatchSTG,pems-bay,0.18843649721974298,0.20740453898906708,0.4342145621776581,122.89044952392578,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'patch_len': 4, 'patch_stride': 2, 'num_layers': 2, 'num_heads': 4, 'ff_multiplier': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}",20260303_202038,cuda,325,12,12,8,"{'method': 'zscore', 'mean': 62.73689571599971, 'std': 9.436833092265356}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'patch_len': 4, 'patch_stride': 2, 'num_layers': 2, 'num_heads': 4, 'ff_multiplier': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}, 'test_loss': 0.18843649721974298, 'mae': 0.20740453898906708, 'rmse': 0.4342145621776581, 'mape': 122.89044952392578}",2026-03-04T01:50:11.558629
metr-la_DCRNN_20260303_202038,DCRNN,metr-la,0.3894392460937976,0.32223647832870483,0.6240506768226624,124.45487976074219,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'k': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5, 'use_scheduled_sampling': False, 'teacher_forcing_ratio': 0.5}",20260303_202038,cuda,207,12,12,8,"{'method': 'zscore', 'mean': 54.40591191569834, 'std': 19.494251201218937}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'k': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5, 'use_scheduled_sampling': False, 'teacher_forcing_ratio': 0.5}, 'test_loss': 0.3894392460937976, 'mae': 0.32223647832870483, 'rmse': 0.6240506768226624, 'mape': 124.45487976074219}",2026-03-04T01:50:11.558805
metr-la_GraphWaveNet_20260303_202038,GraphWaveNet,metr-la,0.38344314520354156,0.31329524517059326,0.6192278861999512,111.87661743164062,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_blocks': 3, 'dilation_base': 2, 'k': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}",20260303_202038,cuda,207,12,12,8,"{'method': 'zscore', 'mean': 54.40591191569834, 'std': 19.494251201218937}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_blocks': 3, 'dilation_base': 2, 'k': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}, 'test_loss': 0.38344314520354156, 'mae': 0.31329524517059326, 'rmse': 0.6192278861999512, 'mape': 111.87661743164062}",2026-03-04T01:50:11.558981
metr-la_MTGNN_20260303_202038,MTGNN,metr-la,0.40278257184664107,0.3433498442173004,0.6346515417098999,123.82829284667969,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_blocks': 3, 'kernel_size': 2, 'dilation_base': 2, 'gcn_depth': 2, 'propalpha': 0.05, 'node_dim': 16, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}",20260303_202038,cuda,207,12,12,8,"{'method': 'zscore', 'mean': 54.40591191569834, 'std': 19.494251201218937}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_blocks': 3, 'kernel_size': 2, 'dilation_base': 2, 'gcn_depth': 2, 'propalpha': 0.05, 'node_dim': 16, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}, 'test_loss': 0.40278257184664107, 'mae': 0.3433498442173004, 'rmse': 0.6346515417098999, 'mape': 123.82829284667969}",2026-03-04T01:50:11.559155
metr-la_DGCRN_20260303_202038,DGCRN,metr-la,0.39611895515450407,0.2892377972602844,0.6293798089027405,123.01038360595703,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'node_dim': 16, 'gcn_depth': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}",20260303_202038,cuda,207,12,12,8,"{'method': 'zscore', 'mean': 54.40591191569834, 'std': 19.494251201218937}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'node_dim': 16, 'gcn_depth': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}, 'test_loss': 0.39611895515450407, 'mae': 0.2892377972602844, 'rmse': 0.6293798089027405, 'mape': 123.01038360595703}",2026-03-04T01:50:11.559330
metr-la_STICformer_20260303_202038,STICformer,metr-la,0.37546943956048207,0.2917978763580322,0.6127555966377258,111.02478790283203,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_layers': 2, 'num_heads': 4, 'ff_multiplier': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}",20260303_202038,cuda,207,12,12,8,"{'method': 'zscore', 'mean': 54.40591191569834, 'std': 19.494251201218937}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_layers': 2, 'num_heads': 4, 'ff_multiplier': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}, 'test_loss': 0.37546943956048207, 'mae': 0.2917978763580322, 'rmse': 0.6127555966377258, 'mape': 111.02478790283203}",2026-03-04T01:50:11.559505
metr-la_PatchSTG_20260303_202038,PatchSTG,metr-la,0.37676258111891686,0.30853819847106934,0.6138098835945129,115.21856689453125,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'patch_len': 4, 'patch_stride': 2, 'num_layers': 2, 'num_heads': 4, 'ff_multiplier': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}",20260303_202038,cuda,207,12,12,8,"{'method': 'zscore', 'mean': 54.40591191569834, 'std': 19.494251201218937}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'patch_len': 4, 'patch_stride': 2, 'num_layers': 2, 'num_heads': 4, 'ff_multiplier': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 30, 'patience': 5}, 'test_loss': 0.37676258111891686, 'mae': 0.30853819847106934, 'rmse': 0.6138098835945129, 'mape': 115.21856689453125}",2026-03-04T01:50:11.559678
