experiment_name,model,dataset,selection_metric,selected_params,selected_num_completed_seeds,final_num_completed_seeds,timestamp,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_min,test_mae_max,test_mae_n,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_min,test_rmse_max,test_rmse_n,test_mape_mean,test_mape_std,test_mape_ci95_low,test_mape_ci95_high,test_mape_min,test_mape_max,test_mape_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_min,test_smape_max,test_smape_n,test_wape_mean,test_wape_std,test_wape_ci95_low,test_wape_ci95_high,test_wape_min,test_wape_max,test_wape_n,test_loss_normalized_mean,test_loss_normalized_std,test_loss_normalized_ci95_low,test_loss_normalized_ci95_high,test_loss_normalized_min,test_loss_normalized_max,test_loss_normalized_n,num_completed_seeds,val_mae_mean,val_mae_std,val_mae_ci95_low,val_mae_ci95_high,val_mae_min,val_mae_max,val_mae_n,val_rmse_mean,val_rmse_std,val_rmse_ci95_low,val_rmse_ci95_high,val_rmse_min,val_rmse_max,val_rmse_n,val_mape_mean,val_mape_std,val_mape_ci95_low,val_mape_ci95_high,val_mape_min,val_mape_max,val_mape_n,val_smape_mean,val_smape_std,val_smape_ci95_low,val_smape_ci95_high,val_smape_min,val_smape_max,val_smape_n,val_wape_mean,val_wape_std,val_wape_ci95_low,val_wape_ci95_high,val_wape_min,val_wape_max,val_wape_n,val_loss_normalized_mean,val_loss_normalized_std,val_loss_normalized_ci95_low,val_loss_normalized_ci95_high,val_loss_normalized_min,val_loss_normalized_max,val_loss_normalized_n,rank_in_dataset,delta_vs_best_pct
simple_backbone_metr-la-by-disp_fil-with-alpah_filter0_4_STICformer_22_04_2026-11h_30-epoch_1,STICformer,metr-la-by-disp_fil-with-alpah_filter0_4,val_mae,"{""dropout"": 0.1, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""patience"": 5, ""weight_decay"": 0.0001}",1,1,2026-04-22T13:03:21.654427,5.9449262619018555,0.0,5.9449262619018555,5.9449262619018555,5.9449262619018555,5.9449262619018555,1,12.080573081970215,0.0,12.080573081970215,12.080573081970215,12.080573081970215,12.080573081970215,1,15281351680.0,0.0,15281351680.0,15281351680.0,15281351680.0,15281351680.0,1,34.66986083984375,0.0,34.66986083984375,34.66986083984375,34.66986083984375,34.66986083984375,1,11.716593742370605,0.0,11.716593742370605,11.716593742370605,11.716593742370605,11.716593742370605,1,0.3832952593078959,0.0,0.3832952593078959,0.3832952593078959,0.3832952593078959,0.3832952593078959,1,1,5.278532028198242,0.0,5.278532028198242,5.278532028198242,5.278532028198242,5.278532028198242,1,11.056509017944336,0.0,11.056509017944336,11.056509017944336,11.056509017944336,11.056509017944336,1,11021814784.0,0.0,11021814784.0,11021814784.0,11021814784.0,11021814784.0,1,23.555715560913086,0.0,23.555715560913086,23.555715560913086,23.555715560913086,23.555715560913086,1,9.62529468536377,0.0,9.62529468536377,9.62529468536377,9.62529468536377,9.62529468536377,1,0.32070775674743074,0.0,0.32070775674743074,0.32070775674743074,0.32070775674743074,0.32070775674743074,1,1,0.0
simple_backbone_metr-la-by-disp_fil-with-alpah_filter0_4_MTGNN_22_04_2026-11h_30-epoch_1,MTGNN,metr-la-by-disp_fil-with-alpah_filter0_4,val_mae,"{""dilation_base"": 2, ""dropout"": 0.1, ""gcn_depth"": 2, ""hidden_dim"": 64, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""patience"": 5, ""propalpha"": 0.05, ""weight_decay"": 0.0001}",1,1,2026-04-22T13:03:21.654387,6.822279930114746,0.0,6.822279930114746,6.822279930114746,6.822279930114746,6.822279930114746,1,12.364770889282227,0.0,12.364770889282227,12.364770889282227,12.364770889282227,12.364770889282227,1,20325408768.0,0.0,20325408768.0,20325408768.0,20325408768.0,20325408768.0,1,35.236026763916016,0.0,35.236026763916016,35.236026763916016,35.236026763916016,35.236026763916016,1,13.445732116699219,0.0,13.445732116699219,13.445732116699219,13.445732116699219,13.445732116699219,1,0.40156628369031666,0.0,0.40156628369031666,0.40156628369031666,0.40156628369031666,0.40156628369031666,1,1,5.885924339294434,0.0,5.885924339294434,5.885924339294434,5.885924339294434,5.885924339294434,1,11.23073673248291,0.0,11.23073673248291,11.23073673248291,11.23073673248291,11.23073673248291,1,13254190080.0,0.0,13254190080.0,13254190080.0,13254190080.0,13254190080.0,1,24.18381118774414,0.0,24.18381118774414,24.18381118774414,24.18381118774414,24.18381118774414,1,10.73286247253418,0.0,10.73286247253418,10.73286247253418,10.73286247253418,10.73286247253418,1,0.33092324675939905,0.0,0.33092324675939905,0.33092324675939905,0.33092324675939905,0.33092324675939905,1,2,14.75802439864433
simple_backbone_metr-la-by-disp_fil-with-alpah_filter0_4_GraphWaveNet_22_04_2026-11h_30-epoch_1,GraphWaveNet,metr-la-by-disp_fil-with-alpah_filter0_4,val_mae,"{""dilation_base"": 2, ""dropout"": 0.1, ""hidden_dim"": 64, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""patience"": 5, ""weight_decay"": 0.0001}",1,1,2026-04-22T13:03:21.654325,7.020486831665039,0.0,7.020486831665039,7.020486831665039,7.020486831665039,7.020486831665039,1,12.361699104309082,0.0,12.361699104309082,12.361699104309082,12.361699104309082,12.361699104309082,1,20023928832.0,0.0,20023928832.0,20023928832.0,20023928832.0,20023928832.0,1,35.413177490234375,0.0,35.413177490234375,35.413177490234375,35.413177490234375,35.413177490234375,1,13.836368560791016,0.0,13.836368560791016,13.836368560791016,13.836368560791016,13.836368560791016,1,0.40133542729384986,0.0,0.40133542729384986,0.40133542729384986,0.40133542729384986,0.40133542729384986,1,1,6.170043468475342,0.0,6.170043468475342,6.170043468475342,6.170043468475342,6.170043468475342,1,11.282514572143555,0.0,11.282514572143555,11.282514572143555,11.282514572143555,11.282514572143555,1,13592985600.0,0.0,13592985600.0,13592985600.0,13592985600.0,13592985600.0,1,24.428693771362305,0.0,24.428693771362305,24.428693771362305,24.428693771362305,24.428693771362305,1,11.250947952270508,0.0,11.250947952270508,11.250947952270508,11.250947952270508,11.250947952270508,1,0.3339431014294936,0.0,0.3339431014294936,0.3339431014294936,0.3339431014294936,0.3339431014294936,1,3,18.092075870745926
simple_backbone_metr-la-by-high_sal-with-alpah_filter0_4_STICformer_22_04_2026-11h_30-epoch_1,STICformer,metr-la-by-high_sal-with-alpah_filter0_4,val_mae,"{""dropout"": 0.1, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""patience"": 5, ""weight_decay"": 0.0001}",1,1,2026-04-22T13:03:21.654634,6.432498931884766,0.0,6.432498931884766,6.432498931884766,6.432498931884766,6.432498931884766,1,11.987882614135742,0.0,11.987882614135742,11.987882614135742,11.987882614135742,11.987882614135742,1,19988510720.0,0.0,19988510720.0,19988510720.0,19988510720.0,19988510720.0,1,34.38218688964844,0.0,34.38218688964844,34.38218688964844,34.38218688964844,34.38218688964844,1,12.644235610961914,0.0,12.644235610961914,12.644235610961914,12.644235610961914,12.644235610961914,1,0.3836499347795393,0.0,0.3836499347795393,0.3836499347795393,0.3836499347795393,0.3836499347795393,1,1,5.573419570922852,0.0,5.573419570922852,5.573419570922852,5.573419570922852,5.573419570922852,1,10.85152816772461,0.0,10.85152816772461,10.85152816772461,10.85152816772461,10.85152816772461,1,13154972672.0,0.0,13154972672.0,13154972672.0,13154972672.0,13154972672.0,1,22.943180084228516,0.0,22.943180084228516,22.943180084228516,22.943180084228516,22.943180084228516,1,10.111629486083984,0.0,10.111629486083984,10.111629486083984,10.111629486083984,10.111629486083984,1,0.3139654932212885,0.0,0.3139654932212885,0.3139654932212885,0.3139654932212885,0.3139654932212885,1,1,0.0
simple_backbone_metr-la-by-high_sal-with-alpah_filter0_4_MTGNN_22_04_2026-11h_30-epoch_1,MTGNN,metr-la-by-high_sal-with-alpah_filter0_4,val_mae,"{""dilation_base"": 2, ""dropout"": 0.1, ""gcn_depth"": 2, ""hidden_dim"": 64, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""patience"": 5, ""propalpha"": 0.05, ""weight_decay"": 0.0001}",1,1,2026-04-22T13:03:21.654600,6.668671607971191,0.0,6.668671607971191,6.668671607971191,6.668671607971191,6.668671607971191,1,12.279290199279785,0.0,12.279290199279785,12.279290199279785,12.279290199279785,12.279290199279785,1,20073758720.0,0.0,20073758720.0,20073758720.0,20073758720.0,20073758720.0,1,34.819637298583984,0.0,34.819637298583984,34.819637298583984,34.819637298583984,34.819637298583984,1,13.108475685119629,0.0,13.108475685119629,13.108475685119629,13.108475685119629,13.108475685119629,1,0.40252366749064944,0.0,0.40252366749064944,0.40252366749064944,0.40252366749064944,0.40252366749064944,1,1,5.712540149688721,0.0,5.712540149688721,5.712540149688721,5.712540149688721,5.712540149688721,1,11.132302284240723,0.0,11.132302284240723,11.132302284240723,11.132302284240723,11.132302284240723,1,12762708992.0,0.0,12762708992.0,12762708992.0,12762708992.0,12762708992.0,1,23.245437622070312,0.0,23.245437622070312,23.245437622070312,23.245437622070312,23.245437622070312,1,10.364029884338379,0.0,10.364029884338379,10.364029884338379,10.364029884338379,10.364029884338379,1,0.33049830731665975,0.0,0.33049830731665975,0.33049830731665975,0.33049830731665975,0.33049830731665975,1,2,3.6715540661151014
simple_backbone_metr-la-by-high_sal-with-alpah_filter0_4_GraphWaveNet_22_04_2026-11h_30-epoch_1,GraphWaveNet,metr-la-by-high_sal-with-alpah_filter0_4,val_mae,"{""dilation_base"": 2, ""dropout"": 0.1, ""hidden_dim"": 64, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""patience"": 5, ""weight_decay"": 0.0001}",1,1,2026-04-22T13:03:21.654567,7.181782245635986,0.0,7.181782245635986,7.181782245635986,7.181782245635986,7.181782245635986,1,12.413799285888672,0.0,12.413799285888672,12.413799285888672,12.413799285888672,12.413799285888672,1,20734009344.0,0.0,20734009344.0,20734009344.0,20734009344.0,20734009344.0,1,35.500850677490234,0.0,35.500850677490234,35.500850677490234,35.500850677490234,35.500850677490234,1,14.117086410522461,0.0,14.117086410522461,14.117086410522461,14.117086410522461,14.117086410522461,1,0.4113812075805998,0.0,0.4113812075805998,0.4113812075805998,0.4113812075805998,0.4113812075805998,1,1,6.320956230163574,0.0,6.320956230163574,6.320956230163574,6.320956230163574,6.320956230163574,1,11.275915145874023,0.0,11.275915145874023,11.275915145874023,11.275915145874023,11.275915145874023,1,13715139584.0,0.0,13715139584.0,13715139584.0,13715139584.0,13715139584.0,1,24.069271087646484,0.0,24.069271087646484,24.069271087646484,24.069271087646484,24.069271087646484,1,11.467854499816895,0.0,11.467854499816895,11.467854499816895,11.467854499816895,11.467854499816895,1,0.33898956882201625,0.0,0.33898956882201625,0.33898956882201625,0.33898956882201625,0.33898956882201625,1,3,11.648401681610165
simple_backbone_metr-la-by-nois_corr-with-alpah_filter0_4_STICformer_22_04_2026-11h_30-epoch_1,STICformer,metr-la-by-nois_corr-with-alpah_filter0_4,val_mae,"{""dropout"": 0.1, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""patience"": 5, ""weight_decay"": 0.0001}",1,1,2026-04-22T13:03:21.654532,5.998066425323486,0.0,5.998066425323486,5.998066425323486,5.998066425323486,5.998066425323486,1,12.030644416809082,0.0,12.030644416809082,12.030644416809082,12.030644416809082,12.030644416809082,1,15679320064.0,0.0,15679320064.0,15679320064.0,15679320064.0,15679320064.0,1,34.5926513671875,0.0,34.5926513671875,34.5926513671875,34.5926513671875,34.5926513671875,1,11.82132625579834,0.0,11.82132625579834,11.82132625579834,11.82132625579834,11.82132625579834,1,0.3801340786566105,0.0,0.3801340786566105,0.3801340786566105,0.3801340786566105,0.3801340786566105,1,1,5.303467750549316,0.0,5.303467750549316,5.303467750549316,5.303467750549316,5.303467750549316,1,11.00048542022705,0.0,11.00048542022705,11.00048542022705,11.00048542022705,11.00048542022705,1,11233105920.0,0.0,11233105920.0,11233105920.0,11233105920.0,11233105920.0,1,23.466018676757812,0.0,23.466018676757812,23.466018676757812,23.466018676757812,23.466018676757812,1,9.67076587677002,0.0,9.67076587677002,9.67076587677002,9.67076587677002,9.67076587677002,1,0.31745949471108265,0.0,0.31745949471108265,0.31745949471108265,0.31745949471108265,0.31745949471108265,1,1,0.0
simple_backbone_metr-la-by-nois_corr-with-alpah_filter0_4_MTGNN_22_04_2026-11h_30-epoch_1,MTGNN,metr-la-by-nois_corr-with-alpah_filter0_4,val_mae,"{""dilation_base"": 2, ""dropout"": 0.1, ""gcn_depth"": 2, ""hidden_dim"": 64, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""patience"": 5, ""propalpha"": 0.05, ""weight_decay"": 0.0001}",1,1,2026-04-22T13:03:21.654500,6.884324550628662,0.0,6.884324550628662,6.884324550628662,6.884324550628662,6.884324550628662,1,12.37030029296875,0.0,12.37030029296875,12.37030029296875,12.37030029296875,12.37030029296875,1,20654348288.0,0.0,20654348288.0,20654348288.0,20654348288.0,20654348288.0,1,35.26586151123047,0.0,35.26586151123047,35.26586151123047,35.26586151123047,35.26586151123047,1,13.568014144897461,0.0,13.568014144897461,13.568014144897461,13.568014144897461,13.568014144897461,1,0.4019282045730642,0.0,0.4019282045730642,0.4019282045730642,0.4019282045730642,0.4019282045730642,1,1,5.935966968536377,0.0,5.935966968536377,5.935966968536377,5.935966968536377,5.935966968536377,1,11.22963809967041,0.0,11.22963809967041,11.22963809967041,11.22963809967041,11.22963809967041,1,13436772352.0,0.0,13436772352.0,13436772352.0,13436772352.0,13436772352.0,1,24.22216033935547,0.0,24.22216033935547,24.22216033935547,24.22216033935547,24.22216033935547,1,10.824114799499512,0.0,10.824114799499512,10.824114799499512,10.824114799499512,10.824114799499512,1,0.33085860099608655,0.0,0.33085860099608655,0.33085860099608655,0.33085860099608655,0.33085860099608655,1,2,14.775730418113508
